settlement_id,payment_id,order_id,amount,batch_id,status,settled_at
stl_RKrQXDhiqBokQK,pay_qUkwkpKiXNxj2f,ord_nXAY8Qu8JiZXVK,16841.64,batch_0009,settled,2026-01-14T07:01:00
stl_goozm3eKdBnLlx,pay_3CgdHjbFeoBJzU,ord_VOrmXQ8DkPcNrA,16781.3,batch_0009,settled,2026-03-12T16:29:00
stl_oIaT6isOfDsR1U,pay_pAn5643zc9TFAy,ord_WNLk81f1E9KZrT,36835.33,batch_0010,settled,2026-01-23T01:26:00
stl_3FAdxCFZDGZ3Cw,pay_wkIeRm8ohD6J7n,ord_URLJmQMu5F4wdx,23321.11,batch_0010,settled,2026-01-07T11:24:00
stl_cvCk5Sr80QPjoc,pay_uJOWEPGICJ3tWo,ord_2GMs8HivBNsd2o,47377.69,batch_0010,settled,2026-02-27T00:12:00
stl_Vmf0P78yELFdPy,pay_4BQT3iIty0BfdN,ord_V65j8HFOs38U9P,39998.85,batch_0010,settled,2026-03-07T04:19:00
stl_jsNNhPrl4NbVE8,pay_qkCJ4mZrEZsKET,ord_8A3iKfmD19e7Uf,20532.09,batch_0010,settled,2026-03-23T00:08:00
stl_DtwY3LVvSbYn1i,pay_ut0XqRwHviirWz,ord_2ikqA4wrG6FVlf,37656.16,batch_0010,settled,2026-02-17T09:30:00
stl_0DRlPgZ8AFzVtC,pay_jFToJgJanlr3H8,ord_4csafhLKmPbjUr,29029.59,batch_0010,settled,2026-02-03T01:04:00
stl_X6wP69FjChEo6b,pay_8T3kwmm0zoAEVV,ord_1le0DQl9EgBOfi,20326.7,batch_0010,settled,2026-02-23T09:19:00
stl_E8Mv8tbcZvUb3v,pay_OW2kAtyVJEIHDI,ord_PEqv1H7bA4xtxC,1739.7,batch_0010,settled,2026-02-18T12:06:00
stl_JKqJGAveZFsPtz,pay_VvMwBE0W0Hrc9y,ord_OAFAbDbtJtgEQm,25073.38,batch_0010,settled,2026-03-13T05:08:00
stl_qbWrINcSWd3tsd,pay_0qrjQoojbXtE9A,ord_MVAJMGwjjQsAtZ,3314.93,batch_0011,settled,2026-01-20T08:29:00
stl_P6QWoIt7wYh11y,pay_KEx6tAQ726wSYb,ord_EfLVtZTXU6ngnr,20477.94,batch_0011,settled,2026-03-17T15:29:00
stl_QXtDTqQZXmzl26,pay_CbdNNXiyMtfjG8,ord_eWET5uA4gjqeAT,27431.61,batch_0011,settled,2026-01-31T21:27:00
stl_67LUcpMsyw8IJq,pay_AmnZTllXb8oBpK,ord_w6hSA5CPhSl1Wr,24758.99,batch_0011,settled,2026-01-15T02:21:00
stl_fur8hx5gubCRDM,pay_ocqRB95cwREE01,ord_3qZ5GBkTE6I5NB,9527.11,batch_0011,settled,2026-01-07T15:04:00
stl_MAAcvCnQjENGsB,pay_sXT54LwfwmByqL,ord_de7xyl71f0kWrU,32737.81,batch_0011,settled,2026-01-13T06:03:00
stl_17LEM8wPQyshag,pay_Mq72llUL2gHahk,ord_YwKVbTCW0czRtS,37891.98,batch_0011,settled,2026-02-09T09:16:00
stl_O3hMOBBkTDBFKQ,pay_TKIsEEKLQYESGA,ord_3TBEbBpsZyug0A,20842.73,batch_0011,settled,2026-02-15T07:11:00
stl_dNSOGsyQIsU4ar,pay_7GQ6BVSGeuyVAy,ord_YvFfxUwPjUAoXz,20524.54,batch_0011,settled,2026-02-12T03:02:00
stl_nYEhv1zJJ3WDSL,pay_7LzhJcjx9sEXiK,ord_6TzkFEC8FGRCcj,27995.43,batch_0012,settled,2026-03-21T15:02:00
stl_5vlbGxf8HrlVj7,pay_UFbOG7rmZ0JfHt,ord_TO1RJXRIhIlMJd,28555.19,batch_0012,settled,2026-01-20T03:19:00
stl_cTIsyhiIrAL7tQ,pay_VOhJB0FWiHkp77,ord_KEUxhdCzEzo2q7,33787.36,batch_0012,settled,2026-01-24T00:18:00
stl_n87cERLa9NgrFk,pay_ZwkVRaC6Bnbr5w,ord_akIREyf2OH3YBh,48604.75,batch_0012,settled,2026-02-03T02:03:00
stl_4mudMbAbX50pD7,pay_EGcSc4Htyu2Y9n,ord_9QHpIC6N6d6A9q,34040.66,batch_0012,settled,2026-02-10T19:23:00
stl_hFwDMlichKFOwK,pay_axX2Mv6WCulgKe,ord_WdXdLAgdd0yMz1,39394.99,batch_0012,settled,2026-02-26T05:26:00
stl_3ConAxj0pfUsGo,pay_Mky2UxGlSGD7DK,ord_cMlHWudX2082mf,23586.3,batch_0012,settled,2026-02-27T14:21:00
stl_oSnoKIDYvf0A6z,pay_9UT4asYWzzJODF,ord_FNW5gecmmusYQr,35311.57,batch_0012,settled,2026-01-14T18:25:00
stl_sGCwau4y9izUy4,pay_xDu7NskPlZLbm4,ord_HubW5j7uNLL18m,19767.66,batch_0013,settled,2026-02-16T14:13:00
stl_eT34zVhwUFWzkm,pay_0zlMAxORfRc2j2,ord_yYG42CJTr2CRSs,30690.07,batch_0013,settled,2026-03-12T02:18:00
stl_dxmp4mabaYQd7f,pay_qBlS3HBcNGPOgQ,ord_eIp6iY0kbgsHye,38203.09,batch_0013,settled,2026-03-02T19:15:00
stl_LKxNoK9oM3tTUM,pay_0k7L8RQ8RuN2t0,ord_ytyCeYOwensL8g,26855.46,batch_0013,settled,2026-03-21T16:16:00
stl_tSpkprBNqWe8yk,pay_tBa1elNimfKZ5o,ord_XzYUoTvmd49XRn,43648.02,batch_0013,settled,2026-02-16T11:03:00
stl_EQRO5TpcYNPROq,pay_8xENKzc5xJmBp4,ord_xsrIDuSm4a1Txz,20849.43,batch_0013,settled,2026-02-05T16:24:00
stl_ml6BYldlVq3zMM,pay_iU5yt9YaeRGOTk,ord_2kAQFH2KTU51gJ,39896.94,batch_0013,settled,2026-03-14T11:12:00
stl_MODzl97YbwcYuB,pay_yL82Xa1yZ5bhG6,ord_gGaL9V5DuAw39Y,47055.45,batch_0013,settled,2026-03-01T18:25:00
stl_qsgvKl6JhtxTtK,pay_UOfASj53VnpD3h,ord_2WSbEfZ99C37DH,12243.46,batch_0013,settled,2026-01-16T13:05:00
stl_Y4jbyADvyeTr5R,pay_ns7dYjS05nT5W1,ord_ZECLjPXRLt9h9R,23966.31,batch_0013,settled,2026-03-15T17:24:00
stl_1OrOwhfEPFbJJq,pay_hFuAjSphysKkUW,ord_UTaTJQ9j6A05f8,9063.68,batch_0014,settled,2026-01-08T11:26:00
stl_6GWOBJRG9vHngY,pay_XhhmjI0c8FwHA6,ord_YWGdZHYOUmOh1R,365.67,batch_0014,settled,2026-02-09T03:01:00
stl_g8n7WhG2KYfvJr,pay_j9AbLehgHeNwuq,ord_C6P6imNqNOSIOF,8285.75,batch_0014,settled,2026-03-14T02:28:00
stl_fr5Ya6P5iEQPHh,pay_r7GS5oNfsV0Neo,ord_FjhxTdS8RpLRl9,39943.6,batch_0014,settled,2026-02-13T20:03:00
stl_jOoysAlYgB0kvA,pay_01rDqaNy557F35,ord_7P2Gne0F7Axxh4,12563.28,batch_0014,settled,2026-02-18T00:29:00
stl_pYmRYRFl9KNoic,pay_oQv8TArEVpjFpV,ord_EQhUWyTTZi7Xhv,781.08,batch_0014,settled,2026-03-01T09:28:00
stl_jhzS3V0IvwNhBD,pay_ugPQViwYUKLorK,ord_qrvztccdUnD4gl,47421.58,batch_0014,settled,2026-02-04T00:03:00
stl_avLwfRISzLudYZ,pay_q0sqhnHsN6ri2d,ord_8kUxWyqljnR2XC,35416.93,batch_0014,settled,2026-02-15T19:08:00
stl_YLxbZVNcpfiMa7,pay_lETObklyLeep48,ord_mBumN1yBTAjDEC,40798.34,batch_0014,settled,2026-01-17T00:04:00
stl_QjPsYvg4P5YSea,pay_Zgkgg7wMh553Ll,ord_bcHg2zanoxvr5Q,34369.64,batch_0014,settled,2026-03-04T00:17:00
stl_1Ysi084pZdi7Rx,pay_KAJQURoa9bI75d,ord_vED8LNi65xIHEH,11582.71,batch_0015,settled,2026-01-09T03:12:00
stl_dyY8LeQDOzxdxA,pay_aZQ2IZ4FRAj8G8,ord_VDiG6DSBNagdNL,8761.65,batch_0015,settled,2026-01-16T16:05:00
stl_onQiS9F9LGVBis,pay_iPu3FFWbXD1cjQ,ord_q8JIWct6awrymU,36311.84,batch_0015,settled,2026-03-28T02:03:00
stl_n2PvDHYglg7yAy,pay_VB568EwrzMQBFM,ord_H8Wfft5krwflVp,23715.72,batch_0015,settled,2026-01-23T20:11:00
stl_QyaWLePMu96UTt,pay_An3ld3A7sm6DHW,ord_6wADd17QqNfezs,35639.11,batch_0015,settled,2026-03-17T08:23:00
stl_0QBrM519XgOMzE,pay_1ROCzvHGVhkAkK,ord_cUlRWLnnlQ7wws,15417.57,batch_0015,settled,2026-03-14T21:18:00
stl_JhN8k4GBgXFNW0,pay_4cbX0GTtkJAIyM,ord_4zYRTaxnr2qZXz,12429.24,batch_0015,settled,2026-03-21T19:13:00
stl_EMnA3NBjs4ON0h,pay_MNJgCKgr3fEwZy,ord_T8NWlOnm0TYxqd,4239.87,batch_0015,settled,2026-01-15T06:16:00
stl_LAJxNdkcFKsZN7,pay_pm0S7gXKkmSABK,ord_nunT6qD7vIsUEF,20057.11,batch_0015,settled,2026-01-19T11:09:00
stl_r0y34cNefXSrUy,pay_ttmXE9AhkuxJrN,ord_JtoernnIS6YPJO,34138.38,batch_0015,settled,2026-02-10T03:28:00
stl_oDErVDfVSvZpO1,pay_euLYqkiCh1U37z,ord_91SofSYYHaQd2c,2495.37,batch_0016,settled,2026-01-29T23:15:00
stl_dqgOTAsyKGEAQO,pay_gCggbCqDGvhIvn,ord_CjF4nw81FWlrkt,43504.59,batch_0016,settled,2026-02-26T07:13:00
stl_cbQsoFUWgXuEvH,pay_uC7PAb82kVavDa,ord_mWvrKTfFRDs4ot,3565.79,batch_0016,settled,2026-01-19T23:28:00
stl_C8Xr8EQCj7MPsr,pay_H492k4vuK6rlJR,ord_81OiEpT8wUm7N7,43869.49,batch_0016,settled,2026-03-01T22:27:00
stl_x2BiBt5SDAAzbI,pay_35LkB2XiVpzmss,ord_Vjfq9mKfnDvYNA,48348.65,batch_0016,settled,2026-01-11T08:30:00
stl_Q1MANlYOkTHDrP,pay_dmiTEnP0st9aEQ,ord_VG0fq9gKYJQ1hK,25589.96,batch_0016,settled,2026-03-06T04:04:00
stl_Xg2Tx85dpcUBxN,pay_jOIC1iWO5e0D7L,ord_Mc47DSr8w1FvRy,3232.01,batch_0016,settled,2026-02-26T23:06:00
stl_dHbYrZyw2jrHoG,pay_lmZFw30XBM2JhG,ord_lKNPmY3wzHelT4,32147.4,batch_0016,settled,2026-02-15T08:04:00
stl_1QTIdVRAAiB38w,pay_53DiSgEnvDW2o5,ord_HT5P2oe64RVc86,29947.57,batch_0016,settled,2026-02-23T06:01:00
stl_mi8oTnxYi8ROCh,pay_w4nS6WsOGqRFd3,ord_dBrtL39iyOOe6m,35292.23,batch_0016,settled,2026-03-13T09:23:00
stl_9o4rQr9VsJcrqp,pay_ATTdgySQ16CJJG,ord_HObV64UuZqUnbS,31114.37,batch_0017,settled,2026-03-18T21:06:00
stl_eBFouxZzN2iuWu,pay_OlFBtIo798a00H,ord_d6rLtdlVr1hNjM,2574.03,batch_0017,settled,2026-01-12T18:02:00
stl_UhoT2wvF4OLBzJ,pay_zT0GdDGBqZsppV,ord_WS6xKOjVO779J9,31553.19,batch_0017,settled,2026-03-05T15:12:00
stl_NTBURTSKYFjaKP,pay_44vyISh33KM9cT,ord_mlCkzVSDg1Zbke,25793.36,batch_0017,settled,2026-02-17T04:12:00
stl_firP8XUnejuCTP,pay_k6qLgorfIFkLc3,ord_tliYT9nGJMgrhq,22001.95,batch_0017,settled,2026-03-18T13:18:00
stl_Hsn73VABpAk7Ov,pay_LScQMNovG7202P,ord_x6PqjYTrm261Ua,3456.34,batch_0017,settled,2026-02-19T14:16:00
stl_ZySrkxzIpa0UGF,pay_8LiH6bxWuvVddn,ord_tyBy4qTvYtzJkm,31301.8,batch_0017,settled,2026-03-24T21:18:00
stl_VSCJbVBDgtiNfI,pay_qmqODsf7ID4Hpb,ord_FRTbUH4fKyZ1WA,37199.82,batch_0017,settled,2026-01-27T18:16:00
stl_VKrY2PDkW9fXjk,pay_1KsMzpHOejTrqg,ord_aRmfCfMKeN2val,14280.96,batch_0017,settled,2026-03-20T18:26:00
stl_159NED2UYcb3jT,pay_l11VvAM25lx59m,ord_GG2076ZS0IEWQI,21827.13,batch_0018,settled,2026-01-31T17:12:00
stl_UidRlitol2ksRq,pay_rmFkUZaqvvJRJC,ord_3k9SwaPzPdlVjq,8712.0,batch_0018,settled,2026-01-06T19:04:00
stl_lbYCJAyZpxuQs8,pay_KxxKcRN1aAuOg4,ord_Qrv8IUqFnnq5GN,23812.97,batch_0018,settled,2026-02-10T20:10:00
stl_VfhViV3YTAyeET,pay_l1BSjIWajgIynD,ord_8Uiu78tVXCkaj2,15133.99,batch_0018,settled,2026-01-10T20:13:00
stl_XBxDuHwW8GxPju,pay_g1XatJxCE7yVsq,ord_fxljtPDq7lyGgX,17379.71,batch_0018,settled,2026-03-07T12:21:00
stl_8e5UAb6pO2ZAhl,pay_iE3vCM445YJcuc,ord_sYHlwbuNKwcTpf,4819.17,batch_0018,settled,2026-03-06T00:20:00
stl_pc07NIvm9wstPb,pay_rSZKNuy5avvBCU,ord_ylramWOrCWNgnR,11130.78,batch_0018,settled,2026-02-25T04:07:00
stl_OQgJzzlbnLFeJz,pay_27VtHy1ECZB5lr,ord_yngr1V98Ivn3rV,31550.76,batch_0018,settled,2026-02-27T16:18:00
stl_L9SBZdYZScy5NB,pay_XZ24pSeUQzGDxW,ord_2k65us3mCpL9X8,25060.73,batch_0018,settled,2026-01-11T11:09:00
stl_jawF1GD38NKFGx,pay_ws6jNDBsURjsxN,ord_CRUUvQuBprciGb,44020.51,batch_0018,settled,2026-02-20T02:01:00
stl_HlWVnFtGgsLJjj,pay_ItB86Et8DkeAs5,ord_KNU9pzqNuDrOqG,17123.0,batch_0019,settled,2026-03-01T20:15:00
stl_rw5giUuWzjjsmf,pay_YmPpZbAxITXMBq,ord_iuvUBAyzVz8vX8,38375.73,batch_0019,settled,2026-01-03T15:03:00
stl_X0f5L9UVArB2TO,pay_G4FbBbFXWEJNTJ,ord_Untowm8qL5iNAX,39925.04,batch_0019,settled,2026-03-13T23:18:00
